id,sex,merit,capacity,carrier
M2501844,M,13.463275,25,0.0
M2501854,M,11.816135,25,0.0
M2501817,M,10.394455,25,0.1
M2501874,M,9.626508,25,0.0
M2501876,M,9.093212,25,0.1
M2501796,M,8.186171,25,0.0
M2501875,M,8.101339,25,0.0
M2501832,M,7.995759,25,0.0
M2501790,M,7.697695,25,0.0
M2501673,M,7.681998,25,0.1
M2501858,M,7.528639,25,0.0
M2501830,M,7.448623,25,0.0
M2501729,M,7.372622,25,0.1
M2501810,M,7.354756,25,1.0
M2501802,M,7.255905,25,0.1
M2501642,M,7.188509,25,0.1
M2501816,M,7.146226,25,0.0
M2501687,M,7.088183,25,0.0
M2501686,M,7.073787,25,0.0
M2501618,M,6.962883,25,0.0
M2501509,M,6.95644,25,0.0
M2501555,M,6.857436,25,1.0
M2501797,M,6.789591,25,0.0
M2501674,M,6.687664,25,0.1
M2501776,M,6.579025,25,0.1
M2501815,M,6.556039,25,0.0
M2501820,M,6.41211,25,0.1
M2501617,M,6.407656,25,0.1
M2501560,M,6.315636,25,0.1
M2501597,M,6.211446,25,1.0
M2501777,M,6.14144,25,0.1
M2501821,M,6.112175,25,0.0
M2501886,M,6.086697,25,0.0
M2501772,M,6.081223,25,0.0
M2501785,M,6.074027,25,0.0
M2501860,M,6.009135,25,0.1
M2501709,M,5.99148,25,0.0
M2501688,M,5.911786,25,0.0
M2501662,M,5.887619,25,0.1
M2501762,M,5.803952,25,0.0
W2401053,F,3.667023,1,0.0
W2401054,F,-5.500213,1,1.0
W2401059,F,1.785107,1,0.1
W2401064,F,-5.59501,1,0.1
W2401067,F,-0.422545,1,0.1
W2401068,F,-0.036141,1,0.0
W2401070,F,7.102178,1,0.1
W2401072,F,-1.289304,1,0.1
W2401074,F,0.496223,1,0.0
W2401075,F,-2.122679,1,0.1
W2401076,F,-0.862138,1,0.0
W2401079,F,1.311239,1,0.1
W2401080,F,3.423124,1,0.0
W2401083,F,10.146539,1,0.0
W2401086,F,5.995055,1,0.0
W2401087,F,9.320535,1,0.0
W2401088,F,1.601776,1,0.1
W2401090,F,2.0353,1,0.0
W2401092,F,1.430342,1,0.1
W2401095,F,4.10929,1,0.1
W2401097,F,5.242942,1,0.0
W2401101,F,6.037543,1,0.0
W2401103,F,1.000976,1,0.1
W2401106,F,4.532906,1,0.0
W2401108,F,5.090536,1,0.1
W2401109,F,-0.483256,1,0.1
W2401110,F,-0.053036,1,1.0
W2401114,F,1.024587,1,0.0
W2401115,F,2.382449,1,0.1
W2401118,F,5.327602,1,1.0
W2401122,F,8.171063,1,0.1
W2401123,F,0.718993,1,0.1
W2401124,F,-2.024828,1,0.0
W2401127,F,6.884782,1,0.0
W2401128,F,0.532147,1,0.1
W2401129,F,3.286724,1,0.1
W2401130,F,3.068558,1,0.0
W2401131,F,3.436246,1,1.0
W2401133,F,-5.631429,1,0.1
W2401137,F,1.500913,1,0.0
W2401138,F,0.187644,1,0.0
W2401139,F,1.528221,1,0.0
W2401140,F,4.857902,1,0.0
W2401141,F,2.691367,1,0.1
W2401142,F,4.689088,1,1.0
W2401143,F,4.02312,1,0.0
W2401144,F,1.580213,1,0.0
W2401145,F,0.941552,1,0.0
W2401146,F,3.091614,1,0.0
W2401147,F,2.178471,1,0.0
W2401151,F,6.691338,1,0.1
W2401153,F,-0.163074,1,0.1
W2401155,F,5.58207,1,0.1
W2401156,F,2.083466,1,0.1
W2401158,F,6.355353,1,0.1
W2401159,F,0.14154,1,0.1
W2401160,F,9.63969,1,0.1
W2401162,F,-3.558466,1,0.0
W2401164,F,2.343964,1,0.0
W2401166,F,3.616306,1,0.0
W2401167,F,3.393968,1,0.1
W2401169,F,-0.227552,1,0.0
W2401170,F,3.587455,1,0.1
W2401172,F,3.917377,1,0.0
W2401174,F,3.363482,1,0.1
W2401176,F,6.655607,1,0.0
W2401178,F,7.576329,1,0.1
W2401179,F,8.919501,1,0.1
W2401180,F,6.951336,1,0.0
W2401182,F,0.002004,1,0.0
W2401184,F,1.791983,1,0.1
W2401188,F,9.309388,1,0.1
W2401191,F,1.721877,1,0.0
W2401193,F,5.944449,1,0.1
W2401197,F,5.465255,1,1.0
W2401204,F,6.173632,1,0.1
W2401207,F,-2.831581,1,0.0
W2401210,F,2.796767,1,0.1
W2401215,F,0.209399,1,0.0
W2401216,F,2.071508,1,0.1
W2401217,F,5.089206,1,0.0
W2401219,F,10.419302,1,1.0
W2401221,F,1.122523,1,0.1
W2401222,F,0.544232,1,0.0
W2401228,F,4.464413,1,0.1
W2401229,F,-1.150065,1,0.0
W2401231,F,4.468721,1,0.0
W2401232,F,4.744318,1,0.1
W2401236,F,3.33358,1,0.0
W2401238,F,6.235509,1,1.0
W2401239,F,3.158951,1,0.0
W2401243,F,2.557138,1,1.0
W2401244,F,5.222779,1,0.0
W2401245,F,4.725927,1,0.1
W2401246,F,8.986337,1,0.0
W2401247,F,6.81527,1,0.0
W2401248,F,4.212842,1,1.0
W2401249,F,5.854516,1,0.0
W2401252,F,4.972378,1,0.1
W2401253,F,4.46198,1,0.0
W2401254,F,3.699479,1,0.1
W2401255,F,4.449633,1,0.0
W2401256,F,5.470416,1,0.0
W2401257,F,5.051083,1,0.0
W2401259,F,2.508083,1,0.1
W2401261,F,4.496713,1,0.0
W2401262,F,1.538959,1,0.1
W2401264,F,5.43904,1,0.0
W2401265,F,9.546957,1,0.1
W2401266,F,9.358698,1,0.1
W2401267,F,3.524918,1,1.0
W2401268,F,-2.335292,1,0.0
W2401269,F,4.116993,1,0.0
W2401273,F,-2.30944,1,0.1
W2401275,F,5.004452,1,0.1
W2401278,F,5.263937,1,0.0
W2401279,F,5.923251,1,0.0
W2401280,F,1.926555,1,0.0
W2401281,F,5.626708,1,0.0
W2401282,F,5.222045,1,0.1
W2401283,F,6.01181,1,0.0
W2401285,F,1.995885,1,0.1
W2401288,F,11.834932,1,0.1
W2401289,F,5.744998,1,0.0
W2401290,F,10.184371,1,1.0
W2401291,F,-0.093042,1,0.1
W2401294,F,4.171946,1,0.0
W2401296,F,-0.065762,1,1.0
W2401300,F,3.951604,1,0.1
W2401301,F,1.779716,1,0.1
W2401302,F,2.608046,1,0.1
W2401303,F,8.867093,1,0.1
W2401307,F,4.6964,1,0.1
W2401310,F,1.220881,1,0.1
W2401313,F,5.441123,1,0.1
W2401314,F,5.738849,1,1.0
W2401315,F,3.437801,1,0.0
W2401316,F,2.581874,1,0.0
W2401317,F,3.216424,1,0.0
W2401319,F,3.274943,1,0.0
W2401322,F,1.458419,1,0.0
W2401328,F,-7.668826,1,0.0
W2401332,F,6.590153,1,0.1
W2401334,F,2.778085,1,0.1
W2401335,F,6.333911,1,0.1
W2401337,F,4.206206,1,1.0
W2401339,F,-1.397384,1,0.0
W2401342,F,2.696494,1,0.1
W2401343,F,-3.381468,1,0.0
W2401344,F,-7.130598,1,0.0
W2401345,F,0.588651,1,0.1
W2401346,F,2.069573,1,0.0
W2401348,F,6.767819,1,0.1
W2401351,F,1.21343,1,0.1
W2401352,F,6.572179,1,1.0
W2401354,F,2.555569,1,0.0
W2401356,F,1.471343,1,0.0
W2401357,F,1.891402,1,0.1
W2401358,F,9.099652,1,0.1
W2401360,F,2.846073,1,0.0
W2401361,F,1.328076,1,0.0
W2401362,F,-0.628932,1,0.0
W2401363,F,2.147191,1,0.0
W2401364,F,0.328524,1,0.0
W2401365,F,2.049897,1,0.1
W2401368,F,5.401649,1,1.0
W2401370,F,6.354297,1,0.0
W2401371,F,8.130311,1,0.0
W2401372,F,-0.863224,1,0.1
W2401373,F,-1.909879,1,0.1
W2401375,F,3.391859,1,0.0
W2401378,F,6.176634,1,0.1
W2401379,F,5.173129,1,0.0
W2401382,F,-0.255994,1,0.0
W2401383,F,2.216269,1,0.1
