id,sire,dam,sex,birth_year
R13001,0,0,M,2013
R13002,0,0,M,2013
R13003,0,0,M,2013
R13004,0,0,M,2013
R13005,0,0,M,2013
R13006,0,0,M,2013
E11001,0,0,F,2011
E12002,0,0,F,2012
E13003,0,0,F,2013
E14004,0,0,F,2014
E15005,0,0,F,2015
E11006,0,0,F,2011
E12007,0,0,F,2012
E13008,0,0,F,2013
E14009,0,0,F,2014
E15010,0,0,F,2015
E11011,0,0,F,2011
E12012,0,0,F,2012
E13013,0,0,F,2013
E14014,0,0,F,2014
E15015,0,0,F,2015
E11016,0,0,F,2011
E12017,0,0,F,2012
E13018,0,0,F,2013
E14019,0,0,F,2014
E15020,0,0,F,2015
E11021,0,0,F,2011
E12022,0,0,F,2012
E13023,0,0,F,2013
E14024,0,0,F,2014
E15025,0,0,F,2015
E11026,0,0,F,2011
E12027,0,0,F,2012
E13028,0,0,F,2013
E14029,0,0,F,2014
E15030,0,0,F,2015
E11031,0,0,F,2011
E12032,0,0,F,2012
E13033,0,0,F,2013
E14034,0,0,F,2014
E15035,0,0,F,2015
E11036,0,0,F,2011
E12037,0,0,F,2012
E13038,0,0,F,2013
E14039,0,0,F,2014
E15040,0,0,F,2015
E11041,0,0,F,2011
E12042,0,0,F,2012
E13043,0,0,F,2013
E14044,0,0,F,2014
E15045,0,0,F,2015
E11046,0,0,F,2011
E12047,0,0,F,2012
E13048,0,0,F,2013
E14049,0,0,F,2014
E15050,0,0,F,2015
E11051,0,0,F,2011
E12052,0,0,F,2012
E13053,0,0,F,2013
E14054,0,0,F,2014
E15055,0,0,F,2015
E11056,0,0,F,2011
E12057,0,0,F,2012
E13058,0,0,F,2013
E14059,0,0,F,2014
E15060,0,0,F,2015
E11061,0,0,F,2011
E12062,0,0,F,2012
E13063,0,0,F,2013
E14064,0,0,F,2014
E15065,0,0,F,2015
E11066,0,0,F,2011
E12067,0,0,F,2012
E13068,0,0,F,2013
E14069,0,0,F,2014
E15070,0,0,F,2015
E11071,0,0,F,2011
E12072,0,0,F,2012
E13073,0,0,F,2013
E14074,0,0,F,2014
E15075,0,0,F,2015
E11076,0,0,F,2011
E12077,0,0,F,2012
E13078,0,0,F,2013
E14079,0,0,F,2014
E15080,0,0,F,2015
E11081,0,0,F,2011
E12082,0,0,F,2012
E13083,0,0,F,2013
E14084,0,0,F,2014
E15085,0,0,F,2015
E11086,0,0,F,2011
E12087,0,0,F,2012
E13088,0,0,F,2013
E14089,0,0,F,2014
E15090,0,0,F,2015
E11091,0,0,F,2011
E12092,0,0,F,2012
E13093,0,0,F,2013
E14094,0,0,F,2014
E15095,0,0,F,2015
E11096,0,0,F,2011
E12097,0,0,F,2012
E13098,0,0,F,2013
E14099,0,0,F,2014
E15100,0,0,F,2015
E11101,0,0,F,2011
E12102,0,0,F,2012
E13103,0,0,F,2013
E14104,0,0,F,2014
E15105,0,0,F,2015
E11106,0,0,F,2011
E12107,0,0,F,2012
E13108,0,0,F,2013
E14109,0,0,F,2014
E15110,0,0,F,2015
E11111,0,0,F,2011
E12112,0,0,F,2012
E13113,0,0,F,2013
E14114,0,0,F,2014
E15115,0,0,F,2015
E11116,0,0,F,2011
E12117,0,0,F,2012
E13118,0,0,F,2013
E14119,0,0,F,2014
E15120,0,0,F,2015
E11121,0,0,F,2011
E12122,0,0,F,2012
E13123,0,0,F,2013
E14124,0,0,F,2014
E15125,0,0,F,2015
E11126,0,0,F,2011
E12127,0,0,F,2012
E13128,0,0,F,2013
E14129,0,0,F,2014
E15130,0,0,F,2015
E11131,0,0,F,2011
E12132,0,0,F,2012
E13133,0,0,F,2013
E14134,0,0,F,2014
E15135,0,0,F,2015
E11136,0,0,F,2011
E12137,0,0,F,2012
E13138,0,0,F,2013
E14139,0,0,F,2014
E15140,0,0,F,2015
E11141,0,0,F,2011
E12142,0,0,F,2012
E13143,0,0,F,2013
E14144,0,0,F,2014
E15145,0,0,F,2015
E11146,0,0,F,2011
E12147,0,0,F,2012
E13148,0,0,F,2013
E14149,0,0,F,2014
E15150,0,0,F,2015
P16A1,UPG:A_16_19,UPG:A_16_19,M,2014
P16A2,UPG:A_16_19,UPG:A_16_19,M,2014
P16B3,UPG:B,UPG:B,M,2014
L160001,R13006,E11001,M,2016
L160002,P16A1,E11006,M,2016
L160003,R13004,E11011,M,2016
L160004,P16B3,E11016,M,2016
L160005,R13006,E11021,F,2016
L160006,P16A1,E11026,F,2016
L160007,R13006,E11031,F,2016
L160008,P16A1,E11036,F,2016
L160009,R13004,E11041,F,2016
L160010,R13006,E11046,F,2016
L160011,R13003,E11051,M,2016
L160012,R13001,E11056,F,2016
L160013,P16A2,E11061,F,2016
L160014,P16A1,E11066,F,2016
L160015,R13001,E11071,M,2016
L160016,R13002,E11076,F,2016
L160017,P16A1,E11081,F,2016
L160018,R13004,E11086,M,2016
L160019,R13006,E11091,M,2016
L160020,R13005,E11096,F,2016
L160021,R13003,E11101,M,2016
