id,sex,year,wwt
L160001,M,2016,38.24
L160002,M,2016,31.11
L160003,M,2016,31.85
L160004,M,2016,36.17
L160005,F,2016,31.74
L160006,F,2016,36.18
L160007,F,2016,25.31
L160008,F,2016,31.31
L160009,F,2016,26.17
L160010,F,2016,27.35
L160011,M,2016,33.70
L160012,F,2016,33.86
L160013,F,2016,32.47
L160014,F,2016,32.26
L160015,M,2016,34.39
L160016,F,2016,26.98
L160017,F,2016,28.38
L160018,M,2016,33.42
L160019,M,2016,29.60
L160020,F,2016,34.28
L160021,M,2016,39.38
L160022,M,2016,27.76
L160023,F,2016,25.50
L160024,F,2016,35.24
L160025,M,2016,36.45
L160026,M,2016,28.71
L160027,M,2016,32.87
L160028,M,2016,35.73
L160029,F,2016,29.93
L160030,M,2016,29.86
L160031,M,2016,33.19
L160032,F,2016,29.75
L160033,F,2016,30.85
L160034,F,2016,30.22
L160035,M,2016,37.79
L160036,F,2016,29.30
L160037,F,2016,25.59
L160038,M,2016,45.26
L160039,M,2016,34.23
L160040,F,2016,23.20
L160041,M,2016,30.21
L160042,M,2016,31.28
L160043,M,2016,37.92
L160044,M,2016,31.06
L160045,M,2016,33.81
L160046,M,2016,31.68
L160047,F,2016,24.54
L160048,M,2016,34.82
L160049,M,2016,34.85
L160050,F,2016,27.62
L160051,F,2016,35.43
L160052,M,2016,29.89
L160053,M,2016,36.25
L160054,F,2016,25.41
L160055,F,2016,28.69
L160056,M,2016,38.93
L160057,F,2016,30.82
L160058,F,2016,29.68
L160059,M,2016,29.56
L160060,F,2016,34.20
L160061,M,2016,23.59
L160062,F,2016,32.96
L160063,F,2016,28.46
L160064,F,2016,35.99
L160065,F,2016,31.10
L160066,M,2016,30.54
L160067,F,2016,31.75
L160068,M,2016,32.15
L160069,M,2016,27.65
L160070,M,2016,37.29
L160071,M,2016,30.46
L160072,M,2016,32.82
L160073,M,2016,32.12
L160074,F,2016,39.75
L160075,F,2016,20.35
L160076,F,2016,26.67
L160077,F,2016,34.57
L160078,F,2016,38.14
L160079,M,2016,28.73
L160080,F,2016,35.03
L160081,F,2016,28.20
L160082,M,2016,30.22
L160083,F,2016,27.24
L160084,F,2016,30.14
L160085,F,2016,24.33
L160086,F,2016,33.81
L160087,M,2016,34.56
L160088,F,2016,30.86
L160089,F,2016,25.33
L160090,M,2016,28.73
L160091,M,2016,37.16
L160092,F,2016,36.71
L160093,F,2016,31.48
L160094,F,2016,28.22
L160095,F,2016,32.32
L160096,M,2016,30.72
L160097,M,2016,25.71
L160098,M,2016,31.57
L160099,F,2016,26.83
L160100,F,2016,28.67
L160101,F,2016,35.54
L160102,M,2016,29.82
L160103,M,2016,33.48
L160104,F,2016,36.37
L160105,F,2016,33.68
L160106,M,2016,35.03
L160107,M,2016,30.98
L160108,F,2016,29.10
L160109,M,2016,26.94
L160110,M,2016,29.56
L160111,F,2016,33.24
L160112,M,2016,39.25
L160113,M,2016,33.48
L160114,F,2016,27.19
L160115,M,2016,34.82
L160116,F,2016,27.60
L160117,M,2016,33.59
L160118,F,2016,32.17
L160119,M,2016,32.74
L160120,F,2016,30.28
L160121,M,2016,37.20
L160122,F,2016,30.57
L160123,F,2016,33.97
L160124,F,2016,31.17
L160125,M,2016,25.13
L160126,M,2016,36.79
L160127,F,2016,28.81
L160128,M,2016,27.31
L160129,F,2016,30.85
L160130,M,2016,23.91
L160131,F,2016,33.34
L160132,F,2016,26.57
L160133,M,2016,34.64
L160134,F,2016,22.85
L160135,M,2016,30.49
L160136,F,2016,30.77
L160137,M,2016,27.81
L160138,M,2016,32.40
L160139,F,2016,21.51
L160140,M,2016,34.78
L160141,M,2016,35.64
L160142,M,2016,31.73
L160143,F,2016,26.62
L160144,F,2016,32.21
L160145,M,2016,35.47
L160146,F,2016,29.50
L160147,M,2016,33.66
L160148,M,2016,30.27
L160149,F,2016,31.30
L160150,F,2016,31.14
L170001,M,2017,37.02
L170002,M,2017,32.57
L170003,M,2017,32.14
L170004,M,2017,40.51
L170005,M,2017,37.60
L170006,M,2017,36.17
L170007,M,2017,28.35
L170008,M,2017,29.60
L170009,F,2017,32.97
L170010,F,2017,36.15
L170011,F,2017,29.36
L170012,F,2017,32.58
L170013,F,2017,28.09
L170014,F,2017,35.18
L170015,M,2017,22.87
L170016,M,2017,31.42
L170017,F,2017,35.54
L170018,F,2017,31.79
L170019,F,2017,26.88
L170020,M,2017,37.28
L170021,M,2017,37.14
L170022,F,2017,30.88
L170023,M,2017,39.49
L170024,F,2017,29.98
L170025,F,2017,38.96
L170026,F,2017,34.16
L170027,M,2017,29.46
L170028,F,2017,24.28
L170029,M,2017,33.86
L170030,F,2017,25.72
L170031,F,2017,24.21
L170032,M,2017,35.52
L170033,F,2017,35.16
L170034,M,2017,37.42
L170035,M,2017,39.79
L170036,M,2017,29.71
L170037,F,2017,37.46
L170038,M,2017,31.81
L170039,F,2017,30.54
L170040,M,2017,32.81
L170041,M,2017,38.18
L170042,M,2017,33.98
L170043,F,2017,34.40
L170044,F,2017,34.78
