id,origin,birth_year,tbv,inbreeding
R13001,base,2013,0.396623,0.000000
R13002,base,2013,-2.825519,0.000000
R13003,base,2013,-4.050557,0.000000
R13004,base,2013,-2.617655,0.000000
R13005,base,2013,1.210094,0.000000
R13006,base,2013,-3.057783,0.000000
E11001,base,2011,0.427495,0.000000
E12002,base,2012,1.016066,0.000000
E13003,base,2013,-1.093713,0.000000
E14004,base,2014,-0.359449,0.000000
E15005,base,2015,1.549559,0.000000
E11006,base,2011,0.397927,0.000000
E12007,base,2012,-2.032844,0.000000
E13008,base,2013,-2.388527,0.000000
E14009,base,2014,-1.713568,0.000000
E15010,base,2015,-1.259029,0.000000
E11011,base,2011,0.336058,0.000000
E12012,base,2012,2.722837,0.000000
E13013,base,2013,-0.896667,0.000000
E14014,base,2014,0.031505,0.000000
E15015,base,2015,-0.985948,0.000000
E11016,base,2011,-3.264580,0.000000
E12017,base,2012,1.927803,0.000000
E13018,base,2013,0.879239,0.000000
E14019,base,2014,1.315092,0.000000
E15020,base,2015,2.059251,0.000000
E11021,base,2011,0.164259,0.000000
E12022,base,2012,0.183644,0.000000
E13023,base,2013,1.111982,0.000000
E14024,base,2014,2.635483,0.000000
E15025,base,2015,5.887958,0.000000
E11026,base,2011,5.526192,0.000000
E12027,base,2012,-0.555186,0.000000
E13028,base,2013,-0.563599,0.000000
E14029,base,2014,-2.526000,0.000000
E15030,base,2015,-1.003292,0.000000
E11031,base,2011,-3.260025,0.000000
E12032,base,2012,2.334725,0.000000
E13033,base,2013,-1.520224,0.000000
E14034,base,2014,-2.659920,0.000000
E15035,base,2015,0.322859,0.000000
E11036,base,2011,-1.892434,0.000000
E12037,base,2012,2.481495,0.000000
E13038,base,2013,-1.996677,0.000000
E14039,base,2014,-0.814937,0.000000
E15040,base,2015,1.855317,0.000000
E11041,base,2011,0.147856,0.000000
E12042,base,2012,3.035568,0.000000
E13043,base,2013,-3.451272,0.000000
E14044,base,2014,0.040638,0.000000
E15045,base,2015,-0.027772,0.000000
E11046,base,2011,-3.273254,0.000000
E12047,base,2012,-0.415917,0.000000
E13048,base,2013,2.164293,0.000000
E14049,base,2014,-0.736800,0.000000
E15050,base,2015,1.081528,0.000000
E11051,base,2011,1.021474,0.000000
E12052,base,2012,-3.059965,0.000000
E13053,base,2013,-1.297155,0.000000
E14054,base,2014,2.708632,0.000000
E15055,base,2015,-0.221991,0.000000
E11056,base,2011,-3.459233,0.000000
E12057,base,2012,-1.255339,0.000000
E13058,base,2013,-2.704636,0.000000
E14059,base,2014,-0.269234,0.000000
E15060,base,2015,-1.389495,0.000000
E11061,base,2011,0.269471,0.000000
E12062,base,2012,-1.285357,0.000000
E13063,base,2013,-0.432608,0.000000
E14064,base,2014,-1.337869,0.000000
E15065,base,2015,2.517153,0.000000
E11066,base,2011,0.674927,0.000000
E12067,base,2012,1.115491,0.000000
E13068,base,2013,0.154379,0.000000
E14069,base,2014,-0.015285,0.000000
E15070,base,2015,-1.366836,0.000000
E11071,base,2011,1.134555,0.000000
E12072,base,2012,3.270932,0.000000
E13073,base,2013,2.805433,0.000000
E14074,base,2014,-2.104484,0.000000
E15075,base,2015,-4.604505,0.000000
E11076,base,2011,1.509451,0.000000
E12077,base,2012,-2.179533,0.000000
E13078,base,2013,-0.202800,0.000000
E14079,base,2014,-0.863691,0.000000
E15080,base,2015,6.129427,0.000000
E11081,base,2011,-2.503397,0.000000
E12082,base,2012,-0.330752,0.000000
E13083,base,2013,0.000863,0.000000
E14084,base,2014,-0.763136,0.000000
E15085,base,2015,-1.909073,0.000000
E11086,base,2011,-2.263509,0.000000
E12087,base,2012,-0.362270,0.000000
E13088,base,2013,3.015451,0.000000
E14089,base,2014,-1.985259,0.000000
E15090,base,2015,-1.739130,0.000000
E11091,base,2011,-0.644725,0.000000
E12092,base,2012,-3.219980,0.000000
E13093,base,2013,-4.220369,0.000000
E14094,base,2014,0.454150,0.000000
E15095,base,2015,-1.452589,0.000000
E11096,base,2011,2.357501,0.000000
E12097,base,2012,-2.478329,0.000000
E13098,base,2013,0.586016,0.000000
E14099,base,2014,-0.108266,0.000000
E15100,base,2015,0.018231,0.000000
