record_id,id,year,parity,flock,nlb
L2021-E0001,E0001,2021,1,F1,2
L2021-E0002,E0002,2021,1,F2,1
L2021-E0003,E0003,2021,1,F1,2
L2021-E0004,E0004,2021,1,F2,1
L2021-E0005,E0005,2021,1,F1,1
L2021-E0006,E0006,2021,1,F2,1
L2021-E0007,E0007,2021,1,F1,2
L2021-E0008,E0008,2021,1,F2,2
L2021-E0009,E0009,2021,1,F1,1
L2021-E0010,E0010,2021,1,F2,1
L2021-E0011,E0011,2021,1,F1,1
L2021-E0012,E0012,2021,1,F2,2
L2021-E0013,E0013,2021,1,F1,2
L2021-E0014,E0014,2021,1,F2,2
L2021-E0015,E0015,2021,1,F1,2
L2021-E0016,E0016,2021,1,F2,1
L2021-E0017,E0017,2021,1,F1,2
L2021-E0018,E0018,2021,1,F2,2
L2021-E0019,E0019,2021,1,F1,1
L2021-E0020,E0020,2021,1,F2,1
L2021-E0021,E0021,2021,1,F1,2
L2021-E0022,E0022,2021,1,F2,1
L2021-E0023,E0023,2021,1,F1,1
L2021-E0024,E0024,2021,1,F2,1
L2021-E0025,E0025,2021,1,F1,1
L2021-E0026,E0026,2021,1,F2,1
L2021-E0027,E0027,2021,1,F1,2
L2021-E0028,E0028,2021,1,F2,2
L2021-E0029,E0029,2021,1,F1,1
L2021-E0030,E0030,2021,1,F2,1
L2021-E0031,E0031,2021,1,F1,1
L2021-E0032,E0032,2021,1,F2,1
L2021-E0033,E0033,2021,1,F1,1
L2021-E0034,E0034,2021,1,F2,1
L2021-E0035,E0035,2021,1,F1,2
L2021-E0036,E0036,2021,1,F2,1
L2021-E0037,E0037,2021,1,F1,2
L2021-E0038,E0038,2021,1,F2,1
L2021-E0039,E0039,2021,1,F1,2
L2021-E0040,E0040,2021,1,F2,1
L2021-E0041,E0041,2021,1,F1,2
L2021-E0042,E0042,2021,1,F2,3
L2021-E0043,E0043,2021,1,F1,2
L2021-E0044,E0044,2021,1,F2,1
L2021-E0045,E0045,2021,1,F1,1
L2021-E0046,E0046,2021,1,F2,1
L2021-E0047,E0047,2021,1,F1,1
L2021-E0048,E0048,2021,1,F2,1
L2021-E0049,E0049,2021,1,F1,2
L2021-E0050,E0050,2021,1,F2,1
L2021-E0051,E0051,2021,1,F1,1
L2021-E0052,E0052,2021,1,F2,2
L2021-E0053,E0053,2021,1,F1,1
L2021-E0054,E0054,2021,1,F2,1
