id,flock,year,sex,birth_type,dam_age,cg,wwt,fat,fec,nlb1,lambing1_year
M2100001,F1,2021,M,2,2-5,F1-2021-M,36.79,NA,NA,NA,NA
M2100002,F1,2021,M,2,2-5,F1-2021-M,29.2,2.18,5.747,NA,NA
W2100003,F2,2021,F,1,2-5,F2-2021-F,29.38,NA,6.417,1,F2-2022
W2100004,F1,2021,F,2,2-5,F1-2021-F,32.96,3.02,3.423,NA,NA
M2100005,F1,2021,M,2,2-5,F1-2021-M,30.73,2.66,NA,NA,NA
M2100006,F2,2021,M,1,2-5,F2-2021-M,30.03,NA,NA,NA,NA
M2100007,F1,2021,M,1,2-5,F1-2021-M,35.46,2.47,5.749,NA,NA
W2100008,F2,2021,F,1,2-5,F2-2021-F,30.17,4.43,4.743,1,F2-2022
M2100009,F1,2021,M,2,2-5,F1-2021-M,31.75,NA,6.541,NA,NA
W2100010,F1,2021,F,2,2-5,F1-2021-F,33.75,2.92,6.145,NA,NA
M2100011,F2,2021,M,2,2-5,F2-2021-M,30.85,2.45,NA,NA,NA
W2100012,F2,2021,F,2,2-5,F2-2021-F,30.27,NA,6.698,NA,NA
M2100013,F1,2021,M,1,2-5,F1-2021-M,27.47,NA,6.148,NA,NA
W2100014,F2,2021,F,1,2-5,F2-2021-F,25.29,NA,NA,NA,NA
M2100015,F1,2021,M,1,2-5,F1-2021-M,27.88,NA,6.327,NA,NA
M2100016,F2,2021,M,2,2-5,F2-2021-M,34.44,NA,NA,NA,NA
M2100017,F2,2021,M,2,2-5,F2-2021-M,38.94,NA,NA,NA,NA
M2100018,F1,2021,M,2,2-5,F1-2021-M,27.52,2.76,5.24,NA,NA
M2100019,F1,2021,M,2,2-5,F1-2021-M,24.48,2.26,NA,NA,NA
W2100020,F2,2021,F,2,2-5,F2-2021-F,26.4,3.84,6.905,2,F2-2022
M2100021,F2,2021,M,2,2-5,F2-2021-M,35.57,4.58,5.122,NA,NA
W2100022,F1,2021,F,2,2-5,F1-2021-F,25.8,3.18,NA,2,F1-2022
M2100023,F1,2021,M,2,2-5,F1-2021-M,32.59,3.76,NA,NA,NA
W2100024,F2,2021,F,1,2-5,F2-2021-F,22.55,3.17,NA,NA,NA
W2100025,F1,2021,F,2,2-5,F1-2021-F,28.72,2.65,4.888,NA,NA
W2100026,F1,2021,F,2,2-5,F1-2021-F,28.78,NA,NA,NA,NA
W2100027,F2,2021,F,2,2-5,F2-2021-F,25.26,2.26,5.758,NA,NA
M2100028,F2,2021,M,2,2-5,F2-2021-M,31.57,4.03,NA,NA,NA
M2100029,F1,2021,M,1,2-5,F1-2021-M,33.04,3.84,5.819,NA,NA
W2100030,F2,2021,F,1,2-5,F2-2021-F,23.51,NA,NA,3,F2-2022
W2100031,F1,2021,F,2,2-5,F1-2021-F,24.33,NA,5.608,1,F1-2022
M2100032,F1,2021,M,2,2-5,F1-2021-M,32.75,4.11,NA,NA,NA
M2100033,F2,2021,M,1,2-5,F2-2021-M,33.59,2.27,NA,NA,NA
W2100034,F1,2021,F,1,2-5,F1-2021-F,30.05,NA,NA,2,F1-2022
M2100035,F2,2021,M,1,2-5,F2-2021-M,29.81,2.06,NA,NA,NA
W2100036,F1,2021,F,1,2-5,F1-2021-F,24.31,NA,NA,1,F1-2022
W2100037,F2,2021,F,1,2-5,F2-2021-F,31.99,4.11,8.256,1,F2-2022
W2100038,F1,2021,F,2,2-5,F1-2021-F,30.46,3.29,NA,1,F1-2022
M2100039,F1,2021,M,2,2-5,F1-2021-M,27.99,4.21,4.951,NA,NA
M2100040,F2,2021,M,2,2-5,F2-2021-M,30.88,2.3,5.884,NA,NA
M2100041,F2,2021,M,2,2-5,F2-2021-M,31.81,NA,NA,NA,NA
M2100042,F1,2021,M,1,2-5,F1-2021-M,27.26,2.36,5.295,NA,NA
W2100043,F2,2021,F,1,2-5,F2-2021-F,24.36,3.37,NA,NA,NA
W2100044,F1,2021,F,1,2-5,F1-2021-F,29.27,NA,3.965,NA,NA
M2100045,F2,2021,M,1,2-5,F2-2021-M,35.21,NA,NA,NA,NA
M2100046,F1,2021,M,1,2-5,F1-2021-M,32.23,3.78,NA,NA,NA
M2100047,F2,2021,M,1,2-5,F2-2021-M,32.31,NA,NA,NA,NA
M2100048,F1,2021,M,2,2-5,F1-2021-M,30.78,NA,6.76,NA,NA
M2100049,F1,2021,M,2,2-5,F1-2021-M,29.97,3.41,7.105,NA,NA
W2100050,F2,2021,F,1,2-5,F2-2021-F,30.04,3.88,NA,NA,NA
W2100051,F1,2021,F,2,2-5,F1-2021-F,16.4,1.18,6.096,NA,NA
W2100052,F1,2021,F,2,2-5,F1-2021-F,25.95,2.52,6.222,2,F1-2022
W2100053,F2,2021,F,1,2-5,F2-2021-F,26.1,4.66,7.65,NA,NA
M2100054,F1,2021,M,2,2-5,F1-2021-M,31.05,3.4,5.906,NA,NA
M2100055,F1,2021,M,2,2-5,F1-2021-M,27.46,1.94,NA,NA,NA
M2100056,F2,2021,M,1,2-5,F2-2021-M,29.87,NA,6.059,NA,NA
W2100057,F1,2021,F,2,2-5,F1-2021-F,28.47,NA,NA,NA,NA
M2100058,F1,2021,M,2,2-5,F1-2021-M,35.21,3.85,7.319,NA,NA
W2100059,F2,2021,F,3,2-5,F2-2021-F,23.42,NA,7.495,1,F2-2022
