id,sire,dam,sex,birth_date
R0001,0,0,M,2018-04-10
R0002,0,0,M,2019-04-11
R0003,0,0,M,2018-04-12
R0004,0,0,M,2019-04-13
R0005,0,0,M,2018-04-14
R0006,0,0,M,2019-04-15
R0007,0,0,M,2018-04-16
R0008,0,0,M,2019-04-17
R0009,0,0,M,2018-04-18
R0010,0,0,M,2019-04-19
R0011,0,0,M,2018-04-20
R0012,0,0,M,2019-04-21
E0001,0,0,F,2018-04-01
E0002,0,0,F,2019-04-02
E0003,0,0,F,2018-04-03
E0004,0,0,F,2019-04-04
E0005,0,0,F,2018-04-05
E0006,0,0,F,2019-04-06
E0007,0,0,F,2018-04-07
E0008,0,0,F,2019-04-08
E0009,0,0,F,2018-04-09
E0010,0,0,F,2019-04-10
E0011,0,0,F,2018-04-11
E0012,0,0,F,2019-04-12
E0013,0,0,F,2018-04-13
E0014,0,0,F,2019-04-14
E0015,0,0,F,2018-04-15
E0016,0,0,F,2019-04-16
E0017,0,0,F,2018-04-17
E0018,0,0,F,2019-04-18
E0019,0,0,F,2018-04-19
E0020,0,0,F,2019-04-20
E0021,0,0,F,2018-04-21
E0022,0,0,F,2019-04-22
E0023,0,0,F,2018-04-23
E0024,0,0,F,2019-04-24
E0025,0,0,F,2018-04-25
E0026,0,0,F,2019-04-26
E0027,0,0,F,2018-04-27
E0028,0,0,F,2019-04-28
E0029,0,0,F,2018-04-01
E0030,0,0,F,2019-04-02
E0031,0,0,F,2018-04-03
E0032,0,0,F,2019-04-04
E0033,0,0,F,2018-04-05
E0034,0,0,F,2019-04-06
E0035,0,0,F,2018-04-07
E0036,0,0,F,2019-04-08
E0037,0,0,F,2018-04-09
E0038,0,0,F,2019-04-10
E0039,0,0,F,2018-04-11
E0040,0,0,F,2019-04-12
E0041,0,0,F,2018-04-13
E0042,0,0,F,2019-04-14
E0043,0,0,F,2018-04-15
E0044,0,0,F,2019-04-16
E0045,0,0,F,2018-04-17
E0046,0,0,F,2019-04-18
E0047,0,0,F,2018-04-19
E0048,0,0,F,2019-04-20
E0049,0,0,F,2018-04-21
E0050,0,0,F,2019-04-22
E0051,0,0,F,2018-04-23
E0052,0,0,F,2019-04-24
E0053,0,0,F,2018-04-25
E0054,0,0,F,2019-04-26
E0055,0,0,F,2018-04-27
E0056,0,0,F,2019-04-28
E0057,0,0,F,2018-04-01
E0058,0,0,F,2019-04-02
E0059,0,0,F,2018-04-03
E0060,0,0,F,2019-04-04
E0061,0,0,F,2018-04-05
E0062,0,0,F,2019-04-06
E0063,0,0,F,2018-04-07
E0064,0,0,F,2019-04-08
E0065,0,0,F,2018-04-09
E0066,0,0,F,2019-04-10
E0067,0,0,F,2018-04-11
E0068,0,0,F,2019-04-12
E0069,0,0,F,2018-04-13
E0070,0,0,F,2019-04-14
E0071,0,0,F,2018-04-15
E0072,0,0,F,2019-04-16
E0073,0,0,F,2018-04-17
E0074,0,0,F,2019-04-18
E0075,0,0,F,2018-04-19
E0076,0,0,F,2019-04-20
E0077,0,0,F,2018-04-21
E0078,0,0,F,2019-04-22
E0079,0,0,F,2018-04-23
E0080,0,0,F,2019-04-24
E0081,0,0,F,2018-04-25
E0082,0,0,F,2019-04-26
E0083,0,0,F,2018-04-27
E0084,0,0,F,2019-04-28
E0085,0,0,F,2018-04-01
E0086,0,0,F,2019-04-02
E0087,0,0,F,2018-04-03
E0088,0,0,F,2019-04-04
E0089,0,0,F,2018-04-05
E0090,0,0,F,2019-04-06
E0091,0,0,F,2018-04-07
E0092,0,0,F,2019-04-08
E0093,0,0,F,2018-04-09
E0094,0,0,F,2019-04-10
E0095,0,0,F,2018-04-11
E0096,0,0,F,2019-04-12
E0097,0,0,F,2018-04-13
E0098,0,0,F,2019-04-14
E0099,0,0,F,2018-04-15
E0100,0,0,F,2019-04-16
E0101,0,0,F,2018-04-17
E0102,0,0,F,2019-04-18
E0103,0,0,F,2018-04-19
E0104,0,0,F,2019-04-20
E0105,0,0,F,2018-04-21
E0106,0,0,F,2019-04-22
E0107,0,0,F,2018-04-23
E0108,0,0,F,2019-04-24
E0109,0,0,F,2018-04-25
E0110,0,0,F,2019-04-26
E0111,0,0,F,2018-04-27
E0112,0,0,F,2019-04-28
E0113,0,0,F,2018-04-01
E0114,0,0,F,2019-04-02
E0115,0,0,F,2018-04-03
E0116,0,0,F,2019-04-04
E0117,0,0,F,2018-04-05
E0118,0,0,F,2019-04-06
E0119,0,0,F,2018-04-07
E0120,0,0,F,2019-04-08
E0121,0,0,F,2018-04-09
E0122,0,0,F,2019-04-10
E0123,0,0,F,2018-04-11
E0124,0,0,F,2019-04-12
E0125,0,0,F,2018-04-13
E0126,0,0,F,2019-04-14
E0127,0,0,F,2018-04-15
E0128,0,0,F,2019-04-16
E0129,0,0,F,2018-04-17
E0130,0,0,F,2019-04-18
E0131,0,0,F,2018-04-19
E0132,0,0,F,2019-04-20
E0133,0,0,F,2018-04-21
E0134,0,0,F,2019-04-22
E0135,0,0,F,2018-04-23
E0136,0,0,F,2019-04-24
E0137,0,0,F,2018-04-25
E0138,0,0,F,2019-04-26
E0139,0,0,F,2018-04-27
E0140,0,0,F,2019-04-28
E0141,0,0,F,2018-04-01
E0142,0,0,F,2019-04-02
E0143,0,0,F,2018-04-03
E0144,0,0,F,2019-04-04
E0145,0,0,F,2018-04-05
E0146,0,0,F,2019-04-06
E0147,0,0,F,2018-04-07
E0148,0,0,F,2019-04-08
E0149,0,0,F,2018-04-09
E0150,0,0,F,2019-04-10
E0151,0,0,F,2018-04-11
E0152,0,0,F,2019-04-12
E0153,0,0,F,2018-04-13
E0154,0,0,F,2019-04-14
E0155,0,0,F,2018-04-15
E0156,0,0,F,2019-04-16
E0157,0,0,F,2018-04-17
E0158,0,0,F,2019-04-18
E0159,0,0,F,2018-04-19
E0160,0,0,F,2019-04-20
E0161,0,0,F,2018-04-21
E0162,0,0,F,2019-04-22
E0163,0,0,F,2018-04-23
E0164,0,0,F,2019-04-24
E0165,0,0,F,2018-04-25
E0166,0,0,F,2019-04-26
E0167,0,0,F,2018-04-27
E0168,0,0,F,2019-04-28
E0169,0,0,F,2018-04-01
E0170,0,0,F,2019-04-02
E0171,0,0,F,2018-04-03
E0172,0,0,F,2019-04-04
E0173,0,0,F,2018-04-05
E0174,0,0,F,2019-04-06
E0175,0,0,F,2018-04-07
E0176,0,0,F,2019-04-08
E0177,0,0,F,2018-04-09
E0178,0,0,F,2019-04-10
E0179,0,0,F,2018-04-11
E0180,0,0,F,2019-04-12
E0181,0,0,F,2018-04-13
E0182,0,0,F,2019-04-14
E0183,0,0,F,2018-04-15
E0184,0,0,F,2019-04-16
E0185,0,0,F,2018-04-17
E0186,0,0,F,2019-04-18
E0187,0,0,F,2018-04-19
E0188,0,0,F,2019-04-20
E0189,0,0,F,2018-04-21
E0190,0,0,F,2019-04-22
E0191,0,0,F,2018-04-23
E0192,0,0,F,2019-04-24
E0193,0,0,F,2018-04-25
E0194,0,0,F,2019-04-26
E0195,0,0,F,2018-04-27
E0196,0,0,F,2019-04-28
E0197,0,0,F,2018-04-01
E0198,0,0,F,2019-04-02
E0199,0,0,F,2018-04-03
E0200,0,0,F,2019-04-04
M2100001,R0007,E0001,M,2021-04-13
M2100002,R0007,E0001,M,2021-04-13
W2100003,R0010,E0002,F,2021-04-06
W2100004,R0011,E0003,F,2021-04-26
M2100005,R0011,E0003,M,2021-04-26
M2100006,R0004,E0004,M,2021-04-15
M2100007,R0003,E0005,M,2021-04-11
W2100008,R0008,E0006,F,2021-04-05
M2100009,R0001,E0007,M,2021-04-06
W2100010,R0001,E0007,F,2021-04-06
M2100011,R0006,E0008,M,2021-04-04
W2100012,R0006,E0008,F,2021-04-04
M2100013,R0001,E0009,M,2021-04-25
W2100014,R0004,E0010,F,2021-04-04
M2100015,R0001,E0011,M,2021-04-04
M2100016,R0008,E0012,M,2021-04-06
M2100017,R0008,E0012,M,2021-04-06
M2100018,R0001,E0013,M,2021-04-11
M2100019,R0001,E0013,M,2021-04-11
W2100020,R0012,E0014,F,2021-04-23
M2100021,R0012,E0014,M,2021-04-23
W2100022,R0007,E0015,F,2021-04-05
M2100023,R0007,E0015,M,2021-04-05
W2100024,R0006,E0016,F,2021-04-23
W2100025,R0001,E0017,F,2021-04-04
W2100026,R0001,E0017,F,2021-04-04
W2100027,R0008,E0018,F,2021-04-24
M2100028,R0008,E0018,M,2021-04-24
M2100029,R0003,E0019,M,2021-04-05
W2100030,R0002,E0020,F,2021-04-28
W2100031,R0001,E0021,F,2021-04-02
M2100032,R0001,E0021,M,2021-04-02
M2100033,R0006,E0022,M,2021-04-15
W2100034,R0011,E0023,F,2021-04-27
M2100035,R0004,E0024,M,2021-04-05
W2100036,R0001,E0025,F,2021-04-20
W2100037,R0012,E0026,F,2021-04-05
W2100038,R0009,E0027,F,2021-04-23
M2100039,R0009,E0027,M,2021-04-23
M2100040,R0006,E0028,M,2021-04-12
M2100041,R0006,E0028,M,2021-04-12
M2100042,R0009,E0029,M,2021-04-25
W2100043,R0004,E0030,F,2021-04-27
W2100044,R0011,E0031,F,2021-04-14
M2100045,R0008,E0032,M,2021-04-07
M2100046,R0011,E0033,M,2021-04-24
M2100047,R0008,E0034,M,2021-04-21
M2100048,R0007,E0035,M,2021-04-25
M2100049,R0007,E0035,M,2021-04-25
W2100050,R0012,E0036,F,2021-04-17
W2100051,R0009,E0037,F,2021-04-23
W2100052,R0009,E0037,F,2021-04-23
W2100053,R0002,E0038,F,2021-04-10
M2100054,R0007,E0039,M,2021-04-15
M2100055,R0007,E0039,M,2021-04-15
M2100056,R0010,E0040,M,2021-04-03
W2100057,R0003,E0041,F,2021-04-13
M2100058,R0003,E0041,M,2021-04-13
W2100059,R0012,E0042,F,2021-04-28
W2100060,R0012,E0042,F,2021-04-28
W2100061,R0012,E0042,F,2021-04-28
W2100062,R0009,E0043,F,2021-04-05
W2100063,R0009,E0043,F,2021-04-05
W2100064,R0012,E0044,F,2021-04-25
M2100065,R0005,E0045,M,2021-04-24
W2100066,R0006,E0046,F,2021-04-08
M2100067,R0011,E0047,M,2021-04-11
M2100068,R0008,E0048,M,2021-04-07
M2100069,R0009,E0049,M,2021-04-20
W2100070,R0009,E0049,F,2021-04-20
W2100071,R0008,E0050,F,2021-04-10
M2100072,R0009,E0051,M,2021-04-17
W2100073,R0012,E0052,F,2021-04-28
W2100074,R0012,E0052,F,2021-04-28
M2100075,R0009,E0053,M,2021-04-25
M2100076,R0010,E0054,M,2021-04-24
W2100077,R0007,E0055,F,2021-04-14
W2100078,R0007,E0055,F,2021-04-14
W2100079,R0007,E0055,F,2021-04-14
M2100080,R0012,E0056,M,2021-04-04
M2100081,R0007,E0057,M,2021-04-25
M2100082,R0004,E0058,M,2021-04-03
M2100083,R0005,E0059,M,2021-04-28
W2100084,R0005,E0059,F,2021-04-28
W2100085,R0010,E0060,F,2021-04-28
W2100086,R0010,E0060,F,2021-04-28
M2100087,R0005,E0061,M,2021-04-10
W2100088,R0005,E0061,F,2021-04-10
M2100089,R0002,E0062,M,2021-04-18
W2100090,R0001,E0063,F,2021-04-04
W2100091,R0010,E0064,F,2021-04-09
W2100092,R0010,E0064,F,2021-04-09
W2100093,R0005,E0065,F,2021-04-08
M2100094,R0005,E0065,M,2021-04-08
W2100095,R0008,E0066,F,2021-04-21
M2100096,R0009,E0067,M,2021-04-27
W2100097,R0009,E0067,F,2021-04-27
W2100098,R0002,E0068,F,2021-04-10
W2100099,R0003,E0069,F,2021-04-27
W2100100,R0002,E0070,F,2021-04-20
W2100101,R0002,E0070,F,2021-04-20
M2100102,R0005,E0071,M,2021-04-02
W2100103,R0012,E0072,F,2021-04-28
M2100104,R0007,E0073,M,2021-04-10
W2100105,R0007,E0073,F,2021-04-10
W2100106,R0002,E0074,F,2021-04-18
W2100107,R0001,E0075,F,2021-04-05
W2100108,R0001,E0075,F,2021-04-05
M2100109,R0010,E0076,M,2021-04-10
W2100110,R0011,E0077,F,2021-04-03
M2100111,R0011,E0077,M,2021-04-03
M2100112,R0008,E0078,M,2021-04-07
M2100113,R0007,E0079,M,2021-04-17
M2100114,R0007,E0079,M,2021-04-17
W2100115,R0004,E0080,F,2021-04-23
W2100116,R0004,E0080,F,2021-04-23
M2100117,R0004,E0080,M,2021-04-23
W2100118,R0005,E0081,F,2021-04-26
M2100119,R0004,E0082,M,2021-04-17
M2100120,R0004,E0082,M,2021-04-17
W2100121,R0007,E0083,F,2021-04-18
W2100122,R0007,E0083,F,2021-04-18
W2100123,R0010,E0084,F,2021-04-09
M2100124,R0010,E0084,M,2021-04-09
M2100125,R0005,E0085,M,2021-04-24
W2100126,R0005,E0085,F,2021-04-24
M2100127,R0002,E0086,M,2021-04-10
M2100128,R0002,E0086,M,2021-04-10
M2100129,R0003,E0087,M,2021-04-02
M2100130,R0010,E0088,M,2021-04-21
M2100131,R0010,E0088,M,2021-04-21
W2100132,R0005,E0089,F,2021-04-07
M2100133,R0005,E0089,M,2021-04-07
M2100134,R0002,E0090,M,2021-04-27
W2100135,R0009,E0091,F,2021-04-02
M2100136,R0008,E0092,M,2021-04-06
W2100137,R0008,E0092,F,2021-04-06
M2100138,R0005,E0093,M,2021-04-01
M2100139,R0005,E0093,M,2021-04-01
M2100140,R0012,E0094,M,2021-04-07
W2100141,R0012,E0094,F,2021-04-07
W2100142,R0001,E0095,F,2021-04-17
M2100143,R0001,E0095,M,2021-04-17
W2100144,R0008,E0096,F,2021-04-09
M2100145,R0009,E0097,M,2021-04-04
W2100146,R0002,E0098,F,2021-04-16
M2100147,R0009,E0099,M,2021-04-10
W2100148,R0009,E0099,F,2021-04-10
M2100149,R0008,E0100,M,2021-04-06
M2100150,R0005,E0101,M,2021-04-08
W2100151,R0002,E0102,F,2021-04-03
W2100152,R0009,E0103,F,2021-04-05
M2100153,R0009,E0103,M,2021-04-05
M2100154,R0006,E0104,M,2021-04-24
W2100155,R0006,E0104,F,2021-04-24
M2100156,R0009,E0105,M,2021-04-04
W2100157,R0004,E0106,F,2021-04-11
W2100158,R0004,E0106,F,2021-04-11
W2100159,R0001,E0107,F,2021-04-03
W2100160,R0006,E0108,F,2021-04-24
M2100161,R0006,E0108,M,2021-04-24
M2100162,R0011,E0109,M,2021-04-15
M2100163,R0012,E0110,M,2021-04-13
M2100164,R0001,E0111,M,2021-04-20
W2100165,R0006,E0112,F,2021-04-15
M2100166,R0003,E0113,M,2021-04-16
M2100167,R0012,E0114,M,2021-04-14
M2100168,R0012,E0114,M,2021-04-14
W2100169,R0005,E0115,F,2021-04-08
W2100170,R0008,E0116,F,2021-04-08
M2100171,R0009,E0117,M,2021-04-01
M2100172,R0012,E0118,M,2021-04-18
W2100173,R0003,E0119,F,2021-04-17
W2100174,R0010,E0120,F,2021-04-04
M2100175,R0009,E0121,M,2021-04-11
W2100176,R0002,E0122,F,2021-04-22
M2100177,R0011,E0123,M,2021-04-26
W2100178,R0002,E0124,F,2021-04-19
M2100179,R0003,E0125,M,2021-04-26
W2100180,R0003,E0125,F,2021-04-26
M2100181,R0003,E0125,M,2021-04-26
W2100182,R0008,E0126,F,2021-04-27
W2100183,R0005,E0127,F,2021-04-20
M2100184,R0005,E0127,M,2021-04-20
W2100185,R0004,E0128,F,2021-04-26
M2100186,R0007,E0129,M,2021-04-20
M2100187,R0012,E0130,M,2021-04-04
M2100188,R0012,E0130,M,2021-04-04
M2100189,R0011,E0131,M,2021-04-11
W2100190,R0011,E0131,F,2021-04-11
W2100191,R0008,E0132,F,2021-04-02
W2100192,R0009,E0133,F,2021-04-11
M2100193,R0004,E0134,M,2021-04-15
M2100194,R0001,E0135,M,2021-04-08
M2100195,R0002,E0136,M,2021-04-12
M2100196,R0011,E0137,M,2021-04-17
M2100197,R0004,E0138,M,2021-04-18
M2100198,R0011,E0139,M,2021-04-26
M2100199,R0006,E0140,M,2021-04-17
W2100200,R0005,E0141,F,2021-04-13
W2100201,R0005,E0141,F,2021-04-13
W2100202,R0005,E0141,F,2021-04-13
M2100203,R0004,E0142,M,2021-04-18
M2100204,R0001,E0143,M,2021-04-26
W2100205,R0006,E0144,F,2021-04-11
W2100206,R0006,E0144,F,2021-04-11
W2100207,R0001,E0145,F,2021-04-01
M2100208,R0004,E0146,M,2021-04-22
M2100209,R0007,E0147,M,2021-04-02
M2100210,R0012,E0148,M,2021-04-07
M2100211,R0012,E0148,M,2021-04-07
M2100212,R0011,E0149,M,2021-04-06
M2100213,R0002,E0150,M,2021-04-21
W2100214,R0005,E0151,F,2021-04-23
M2100215,R0008,E0152,M,2021-04-17
W2100216,R0008,E0152,F,2021-04-17
M2100217,R0008,E0152,M,2021-04-17
W2100218,R0007,E0153,F,2021-04-05
M2100219,R0010,E0154,M,2021-04-20
W2100220,R0010,E0154,F,2021-04-20
W2100221,R0001,E0155,F,2021-04-26
W2100222,R0002,E0156,F,2021-04-15
M2100223,R0011,E0157,M,2021-04-16
W2100224,R0002,E0158,F,2021-04-27
W2100225,R0005,E0159,F,2021-04-24
M2100226,R0008,E0160,M,2021-04-26
W2100227,R0008,E0160,F,2021-04-26
M2100228,R0003,E0161,M,2021-04-24
W2100229,R0003,E0161,F,2021-04-24
W2100230,R0008,E0162,F,2021-04-01
M2100231,R0008,E0162,M,2021-04-01
M2100232,R0001,E0163,M,2021-04-18
W2100233,R0002,E0164,F,2021-04-14
M2100234,R0002,E0164,M,2021-04-14
W2100235,R0001,E0165,F,2021-04-20
W2100236,R0010,E0166,F,2021-04-25
W2100237,R0011,E0167,F,2021-04-16
W2100238,R0010,E0168,F,2021-04-07
W2100239,R0010,E0168,F,2021-04-07
M2100240,R0005,E0169,M,2021-04-04
M2100241,R0005,E0169,M,2021-04-04
M2100242,R0010,E0170,M,2021-04-01
W2100243,R0001,E0171,F,2021-04-13
M2100244,R0001,E0171,M,2021-04-13
